key,Source,english,japanese,german
ui.mainMenu.playLocally,Play locally,Play locally,ローカルでプレイ,Lokal spielen
ui.mainMenu.exitGame,Exit Game,Exit Game,ゲームを終了,Spiel beenden
ui.game.saveGame,Save this game,Save this game,ゲームをセーブする,Dieses Spiel speichern
ui.game.saveAndQuit,Save and Quit,Save and Quit,セーブして終了,Speichern und beenden
ui.game.disconnectedFromServer,"Disconnected from server!\nIf you could send us the log data, it would help us in our development.\nPlease contact us on the official Discord with your feedback as well!","Disconnected from server!\nIf you could send us the log data, it would help us in our development.\nPlease contact us on the official Discord with your feedback as well!",サーバーから切断されました！\nログデータを送っていただけると開発の助けになります。\n公式Discordにもフィードバックをよろしくお願いします！,"Verbindung zum Server getrennt!\nWenn Sie uns die Logdaten schicken, hilft uns das bei der Entwicklung.\nTeilen Sie uns Ihr Feedback auch gern im offiziellen Discord mit!"
ui.common.close,Close,Close,閉じる,Schließen
ui.common.connecting,Connecting...,Connecting...,接続中...,Verbindung wird hergestellt …
ui.common.itemFallback,Item {itemId},Item {itemId},アイテム {itemId},Gegenstand {itemId}
ui.common.blockFallback,Block {blockId},Block {blockId},ブロック {blockId},Block {blockId}
ui.common.iconIdFallback,#{id},#{id},#{id},#{id}
ui.common.rightArrow,→,→,→,→
ui.tooltip.worldTarget,World Target,World Target,世界の対象,Ziel in der Welt
ui.tooltip.holdToGet,Press and hold left-click to get,Press and hold left-click to get,左クリック長押しで取得する,Linksklick gedrückt halten zum Aufnehmen
ui.error.reconnecting,Reconnecting...,Reconnecting...,再接続中...,Verbindung wird wiederhergestellt …
ui.error.uiErrorOccurred,A UI error occurred,A UI error occurred,UIエラーが発生しました,Es ist ein UI-Fehler aufgetreten
ui.error.renderFailed,There was a problem rendering the screen. Please reload.,There was a problem rendering the screen. Please reload.,画面の描画中に問題が発生しました。再読み込みしてください。,Beim Darstellen des Bildschirms ist ein Problem aufgetreten. Bitte laden Sie neu.
ui.error.reload,Reload,Reload,再読み込み,Neu laden
ui.blockInventory.trainNoItemContainer,This train has no item container,This train has no item container,この列車にはアイテムコンテナがありません,Dieser Zug hat keinen Gegenstandsbehälter
ui.blockInventory.trainNotFound,Train not found,Train not found,列車が見つかりません,Zug nicht gefunden
ui.blockInventory.trainOpenFailed,Could not open train inventory,Could not open train inventory,列車のインベントリを開けませんでした,Zuginventar konnte nicht geöffnet werden
ui.blockInventory.trainInventory,Train Inventory,Train Inventory,列車インベントリ,Zuginventar
ui.blockInventory.gearTorqueSummary,Torque {current} / {required},Torque {current} / {required},トルク {current} / {required},Drehmoment {current} / {required}
ui.blockInventory.gearRpmSummary,RPM {current} / {required},RPM {current} / {required},RPM {current} / {required},U/min {current} / {required}
ui.blockInventory.generatorOperatingRate,Operating rate {rate}%,Operating rate {rate}%,稼働率 {rate}%,Auslastung {rate} %
ui.blockInventory.inventoryTab,Inventory,Inventory,インベントリ,Inventar
ui.blockInventory.recipeSelectionTab,Select Recipe,Select Recipe,レシピ選択,Rezept wählen
ui.blockInventory.itemsPerMinute,{itemsPerMinute}/min,{itemsPerMinute}/min,{itemsPerMinute}/分,{itemsPerMinute}/min
ui.blockInventory.noDemand,No demand,No demand,需要なし,Kein Bedarf
